Address,Account #,Account Name,Title Owner Account #,Physical Loc Site #,Lat ,Lon
"328 E 75TH ST, New York, NY 10021",728130,UNIVERSAL IMAGING DIAG GRP LLC,728130,893849,,
"225 PARK AVE S, New York, NY 10003",731513,PORT AUTHORITY OF NY & NJ,731513,895410,,
"158 E 84TH ST, New York, NY 10028",737072,PARK EAST CARDIOVASCULAR,1017979,1091846,,
"645 10TH AVE, New York, NY 10036",750305,RYAN CHELSEA CLINTON COMMUNITY HEATLH CENTER,750305,935951,,
"286 FT WASHINGTON AVE STE 1A, New York, NY 10032",756281,WASHINGTON HEIGHTS UROLOGY PC,756281,1729128,,
"280 HENRY ST, New York, NY 10002",761802,BETANCES HEALTH CENTER,761802,936187,,
"791 PARK AVE, New York, NY 10021",777029,PHILIP WEINTRAUB MD,777029,936723,,
"254 CANAL ST RM 3001, New York, NY 10013",783703,MARCUS LOO MD,783703,1657740,,
"955 PARK AVE, New York, NY 10028",783705,PETER SAILON MD,783705,940833,,
"205 E 78TH ST, New York, NY 10075",784186,JANUSZ PLAWNER MD,784186,941208,,
"317 E 34TH ST, New York, NY 10016",794408,ROY G GERONEMUS MD PC,794408,954117,,
"4 E 95TH ST, New York, NY 10128",822670,JILL FISHBANE-MAYER MD,822670,979179,,
"160 E 32ND ST STE 101, New York, NY 10016",843792,NEW YORK METROPOLITAN LITHOTRIPTOR ASSOCIATES PC,843792,1010284,,
"144 4TH AVE, New York, NY 10003",843873,UNION SQUARE DIAGNOSTIC IMAGING,306314,1548648,,
"1021 PARK AVE, New York, NY 10028",844416,CARMINE PETRACCA,844416,1011717,,
"67 IRVING PL FL 8, New York, NY 10003",870769,DAVID S FELDMAN MD PC,870769,1069179,,
"150 E 32ND ST FL 2, New York, NY 10016",873908,NEW YORK UNIVERSITY,698214,1070242,,
"123 W 86TH ST, New York, NY 10024",887482,ELLEN BLYE & ELLIOT J ARONS MDS PC,887482,1082149,,
"1045 5TH AVE, New York, NY 10028",887496,SAMI S DAVID MD,887496,1084628,,
"121 E 60TH ST, New York, NY 10022",887627,ROBERT L BARD MD PC,887627,1098701,,
"115 E 86TH ST, New York, NY 10028",898482,JEFFREY H GRAF MD,898482,1287827,,
"125 EAST 63RD ST, New York, NY 10065",904006,NARGESS AHGHARIAN MD & ELLEN MANOS MD,904006,1350032,,
"320 E 15TH ST, New York, NY 10003",909004,STRANG CLINIC,909004,1100941,,
"61 E 86TH ST, New York, NY 10028",939926,JOAN BERMAN & SHARON DIAMOND MDS,939926,1326878,,
"128 MOTT ST STE 701, New York, NY 10013",940786,WINDSOR TING MD,940786,1392309,,
"207 E 57TH ST APT 17B, New York, NY 10022",960740,ROBERT SEGAL MD,960740,1817196,,
"161 MADISON AVE RM 4SW, New York, NY 10016",966721,MIDTOWN REPRODUCTIVE MED PC,1136512,1240612,,
"488 MADISON AVE FL 1220, New York, NY 10022",968960,SCHAFFER SCHONHOLZ & DROSSMAN LLP,297866,2589828,,
"930 5TH AVE, New York, NY 10021",978126,RADOSLAV JOVANOVIC MD LLC,978126,1430637,,
"251 E 33RD ST  5TH FL, New York, NY 10016",978519,MARGARET NACHTIGALL MD,978519,1494812,,
"220 W 72ND ST, New York, NY 10023",1047951,CITY VETERINARY CARE,1047951,1371882,,
"700 W 180TH ST, New York, NY 10033",1064040,MARIO B CASTILLO MD,1064040,1515106,,
"425 5TH AVE FL 4, New York, NY 10016",1070451,COMPREHENSIVE HEALTHCARE,1070451,1653168,,
"217 GRAND STREET, New York, NY 10013",1119913,KENNETH TAM MD,1119913,1429406,,
"14 W 23RD ST, New York, NY 10010",1345777,KIMA CENTER,1345777,1619194,,
"110 E 59TH ST RM 9B, New York, NY 10022",1387580,MARK L MEYER MD PLLC,1017979,1843506,,
"106 E 76TH ST, New York, NY 10021",145447,LENOX HILL HOSPITAL,1017979,1875169,,
"107 E 76TH STREET, New York, NY 10021",145447,LENOX HILL HOSPITAL,145447,535276,,
"215 W 125TH ST, New York, NY 10027",145837,NYC HEALTH & HOSPITALS CORP,145837,542492,,
"45 E 85TH ST, New York, NY 10028",146245,OB-GYN ASSOCIATES,146245,564991,,
"885 PARK AVE, New York, NY 10021",146328,AUSTIN ABRAMSON MD,146328,882382,,
"726 BROADWAY, 2ND FL STE 221, New York, NY 10003",146371,NYU HOSPITALS CENTER,318083,534307,,
"177 FT WASHINGTON AVE, New York, NY 10032",146642,COLUMBIA UNIVERSITY,146642,535251,,
"506 LENNOX AVE, New York, NY 10037",146809,HARLEM HOSPITAL CENTER,146809,535240,,
"101 MADISON AND FIFTH AVE, New York, NY 10029",147009,MOUNT SINAI HOSPITAL,1-1NFW5,1375323,,
"7 DIVISION 2ND FLOOR, New York, NY 10002",147063,CYNTHIA WU  MD,1-1WCVQSZB,525751,,
"16 EAST 60TH STREET SUITE 321, New York, NY 10021",147097,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,147097,1336324,,
"161 FORT WASHINGTON AVENUE, New York, NY 10032",147097,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,147097,564938,,
"3959 BROADWAY BHS-ROOM 1-115, New York, NY 10032",147097,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,147097,564934,,
"215 EAST 95TH STREET, New York, NY 10128",147176,NEW YORK UNIV,386546,533111,,
"425 E 61ST ST, New York, NY 10021",147226,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,147226,904105,,
"1305 YORK AVE 6TH FL, New York, NY 10021",147226,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,685231,1542674,,
"16 EAST 16TH STREET, New York, NY 10003",147365,SIDNEY HILLMAN HEALTH CENTER,147365,541681,,
"630 W 168TH STREET, New York, NY 10032",157164,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1-1WCVQSZB,930484,,
"101 1ST ST (5TH AND MADISON), New York, NY 10029",203566,MOUNT SINAI HOSPITAL,1018587,711296,,
"1470 MADISON AVENUE, New York, NY 10029",203566,MOUNT SINAI HOSPITAL,145729,708677,,
"101ST ST BETWEEN MADISON & 5TH, New York, NY 10029",203566,MOUNT SINAI HOSPITAL,145729,535192,,
"5 E 102ND ST, New York, NY 10029",203566,MOUNT SINAI HOSPITAL,203566,1595480,,
"155 CANAL ST, New York, NY 10013",290627,CP ADVANCED IMAGING PLLC,290627,1717909,,
"519 E 72ND STREET, New York, NY 10021",293306,EAST RIVER MEDICAL IMAGING PC,1720547,638604,,
"3 EAST 75TH STREET, New York, NY 10021",293306,EAST RIVER MEDICAL IMAGING PC,1720547,1276423,,
"7 W 34TH ST, New York, NY 10001",295990,HIP HEALTH PLAN OF NEW YORK,295990,458044,,
"170 W 12TH STREET, New York, NY 10011",296041,ST VINCENTS HOSPITAL,296041,1263163,,
"170 W 12TH ST, New York, NY 10011",296041,ST VINCENTS HOSPITAL,296041,1262084,,
"411 E 67TH STREET, New York, NY 10021",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,1727201,458278,,
"410 E 68TH STREET, New York, NY 10021",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,296042,458282,,
"435 EAST 67TH STREET, New York, NY 10021",296042,MEMORIAL SLOAN KETTERING CANCER CENTER,296042,458279,,
"622 WEST 168TH STREET, New York, NY 10032",296043,NEW YORK PRESBYTERIAN WEILL CORNELL MEDICAL CENTER,1790489,1437894,,
"710 W 168TH ST NI-10, New York, NY 10032",296043,NEW YORK PRESBYTERIAN WEILL CORNELL MEDICAL CENTER,2065844,1858670,,
"177 FORT WASHINGTON AVE, New York, NY 10022",296043,NEW YORK PRESBYTERIAN WEILL CORNELL MEDICAL CENTER,296043,726480,,
"88TH ST & EAST END AVE, New York, NY 10128",296045,MOUNT SINAI BETH ISRAEL,296045,458319,,
"237 EAST 20TH STREET, New York, NY 10003",298529,EDWARD MERKER MD,298529,466566,,
"115 E 86TH, New York, NY 10028",301362,NEW YORK CARDIAC DIAGNOSTIC,301362,475016,,
"32 WEST 18TH ST 5TH FL, New York, NY 10011",302390,DANIEL CLEMENT MD PC,302390,478113,,
"660 FIRST AVE 5TH FL RM 500, New York, NY 10016",302516,NY UNIV SCHOOL OF MEDICINE,850655,478498,,
"1016 FIFTH AVENUE, New York, NY 10028",305675,M FATEH & K SULTAN MDS PC,305675,488016,,
"23 WALL STREET, New York, NY 10260",308969,MORGAN TRUST,308969,497888,,
"2 MOTT STREET, New York, NY 10013",310746,EDWARD K MOK MD,310746,503168,,
"425 W 59TH STREET SUITE 60, New York, NY 10019",310961,WEST SIDE RADIOLOGY ASSOCIATES PC,310961,503808,,
"1790 BROADWAY SUITE 1100, New York, NY 10019",310961,WEST SIDE RADIOLOGY ASSOCIATES PC,310961,706515,,
"945 FIFTH AVE, New York, NY 10021",315506,ROSENBAUM SILVERSTONE &,315506,517316,,
"726 BROADWAY FL 2, New York, NY 10003",318083,NEW YORK UNIVERSITY LANGONE MEDICAL CENTER,290003,1634923,,
"125 WORTH STREET, New York, NY 10013",318084,NEW YORK CITY HEALTH & HOSPITALS,318084,569018,,
"123 LAFAYETTE ST - 6TH FLOOR, New York, NY 10013",334130,SINOG MEDICAL ASSOCIATES PC,1732991,623672,,
"225 E 64TH STREET, New York, NY 10021",343209,RONALD D BLATT MD PC,343209,643756,,
"1070 PARK AVE STE 1A, New York, NY 10128",539029,MIKLOS TOTH MD,539029,812673,,
"139 E STREET, New York, NY 10016",717440,LEXINGTON VET GROUP,717440,889408,,
"622 WEST 168TH ST, New York, NY 10032",725409,COLUMBIA UNIVERSITY,1092643,892521,,
"1150 ST NICHOLS AVE, New York, NY 10032",731096,MOLECULAR GENETICS,731096,895237,,
"301 E 55TH ST, New York, NY 10022",733150,MEMORIAL SLOAN KETTERING CANCER CENTER DISTRIBUTION CENTER,296042,1403718,,
"109 EAST 38TH STREET, New York, NY 10016",783704,JACOB HEYMAN MD PC,1-1NFW5,940831,,
"445 W 58TH ST, New York, NY 10019",845978,ST LUKES ROOSEVELT,343187,1012756,,
"31ST ST AND EAST RIVER DR, New York, NY 10016",850655,NEWYORK PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,1684240,1626480,,
"123 LAFAYETTE ST  6TH FLOOR, New York, NY 10013",898589,MANSY CORPORATION,898589,1097372,,
"650 FIRST AVENUE, New York, NY 10016",917586,MURRAY HILLS RADIOLOGY & MAMMOGRAPHY PC,306314,1264686,,
"271 AVE C APT 6G, New York, NY 10009",949356,JOCELYN GREENIDGE MD,1-1WCVQSZB,1221126,,
"623 W 207TH ST OFC 12, New York, NY 10034",992809,FOX MEDICAL PC,992809,1793606,,
